2026-06-13 22:04:10 | INFO | Starting BPE training | data_root=/home/krrish/Desktop/Programming/indic-modernBERT/data/sangrah_dataset | vocab_sizes=[32768, 50368, 65536, 98304, 131072, 196608] | min_freq=2 | use_script_norm=True | use_nfkc=True
2026-06-13 22:04:13 | INFO | BPE vocab=32768 | 1/18 data-11.parquet | 174763 rows
2026-06-13 22:04:54 | INFO | BPE vocab=32768 | 2/18 data-12.parquet | 174763 rows
2026-06-13 22:05:25 | INFO | BPE vocab=32768 | 3/18 data-19.parquet | 174763 rows
2026-06-13 22:06:00 | INFO | BPE vocab=32768 | 4/18 data-20.parquet | 174763 rows
2026-06-13 22:06:36 | INFO | BPE vocab=32768 | 5/18 data-24.parquet | 174763 rows
2026-06-13 22:07:11 | INFO | BPE vocab=32768 | 6/18 data-33.parquet | 174763 rows
2026-06-13 22:07:45 | INFO | BPE vocab=32768 | 7/18 data-34.parquet | 174763 rows
2026-06-13 22:08:19 | INFO | BPE vocab=32768 | 8/18 data-35.parquet | 160929 rows
2026-06-13 22:08:49 | INFO | BPE vocab=32768 | 9/18 data-37.parquet | 174762 rows
2026-06-13 22:09:22 | INFO | BPE vocab=32768 | 10/18 data-40.parquet | 174762 rows
2026-06-13 22:09:55 | INFO | BPE vocab=32768 | 11/18 data-58.parquet | 174763 rows
2026-06-13 22:10:27 | INFO | BPE vocab=32768 | 12/18 data-67.parquet | 174762 rows
2026-06-13 22:10:58 | INFO | BPE vocab=32768 | 13/18 data-71.parquet | 174762 rows
2026-06-13 22:11:29 | INFO | BPE vocab=32768 | 14/18 data-73.parquet | 174763 rows
2026-06-13 22:11:58 | INFO | BPE vocab=32768 | 15/18 data-77.parquet | 174763 rows
2026-06-13 22:12:25 | INFO | BPE vocab=32768 | 16/18 data-79.parquet | 174763 rows
2026-06-13 22:12:51 | INFO | BPE vocab=32768 | 17/18 data-87.parquet | 174763 rows
2026-06-13 22:13:16 | INFO | BPE vocab=32768 | 18/18 data-94.parquet | 174762 rows
2026-06-13 22:14:50 | INFO | Completed BPE | pretokenization=subword | target_vocab_size=32768 | vocab_size=32768
2026-06-13 22:14:50 | INFO | Completed vocab_size=32768 | tokenizer_path=/home/krrish/Desktop/Programming/indic-modernBERT/artifacts/tokenizer/bpe_vs32768/tokenizer.json
2026-06-13 22:14:53 | INFO | BPE vocab=50368 | 1/18 data-11.parquet | 174763 rows
2026-06-13 22:15:32 | INFO | BPE vocab=50368 | 2/18 data-12.parquet | 174763 rows
2026-06-13 22:16:04 | INFO | BPE vocab=50368 | 3/18 data-19.parquet | 174763 rows
2026-06-13 22:16:33 | INFO | BPE vocab=50368 | 4/18 data-20.parquet | 174763 rows
2026-06-13 22:17:03 | INFO | BPE vocab=50368 | 5/18 data-24.parquet | 174763 rows
2026-06-13 22:17:32 | INFO | BPE vocab=50368 | 6/18 data-33.parquet | 174763 rows
2026-06-13 22:18:02 | INFO | BPE vocab=50368 | 7/18 data-34.parquet | 174763 rows
2026-06-13 22:18:30 | INFO | BPE vocab=50368 | 8/18 data-35.parquet | 160929 rows
2026-06-13 22:18:56 | INFO | BPE vocab=50368 | 9/18 data-37.parquet | 174762 rows
2026-06-13 22:19:24 | INFO | BPE vocab=50368 | 10/18 data-40.parquet | 174762 rows
2026-06-13 22:19:52 | INFO | BPE vocab=50368 | 11/18 data-58.parquet | 174763 rows
2026-06-13 22:20:19 | INFO | BPE vocab=50368 | 12/18 data-67.parquet | 174762 rows
